,magnus_heunicke,nicolai_wammen,mattias_tesfaye,jakob_ellemann,soren_gade,sophie_lohde,lars_lokke,jakob_engel_schmidt,monika_rubin,jacob_mark,pia_dyhr,kirsten_andersen,dennis_flydtkjær,peter_skaarup,soren_espersen,alex_vanopslagh,henrik_dahl,ole_olesen,soren_pape,mette_abildgaard,rasmus_jarlov,pelle_dragsted,mai_villadsen,rosa_lund,martin_lidegaard,samira_nawa,katrine_robsoe,pernille_vermund,lars_mathiesen,kim_andersen,franciska_rosenkilde,christina_olumeko,torsten_gejl,morten_messerschmidt,pia_kjarsgaard,peter_kofod,Anders_Bjarklev,Anders_Lund_Madsen,DTU,Michael_Kristiansen,Peter_Mogensen,Selma_Montgomery
pia_dyhr,0.10905730129390019,0.09689213893967093,0.12994350282485875,0.14068441064638784,0.04895104895104895,0.1342155009451796,0.13636363636363635,0.2145748987854251,0.19760479041916168,0.13636363636363635,1.0,0.1583011583011583,0.14722753346080306,0.14285714285714285,0.1695906432748538,0.171875,0.19284294234592445,0.17647058823529413,0.13851992409867173,0.19760479041916168,0.09289617486338798,0.20240480961923848,0.21703853955375255,0.1650485436893204,0.18811881188118812,0.15163147792706333,0.10294117647058823,0.1320754716981132,0.15606936416184972,0.15163147792706333,0.08303249097472924,0.1070110701107011,0.14722753346080306,0.16279069767441862,0.1695906432748538,0.1320754716981132,0.054481546572934976,0.20481927710843373,0.1834319526627219,0.023890784982935155,0.19284294234592445,0.054481546572934976
kirsten_andersen,0.16279069767441862,0.08108108108108109,0.14722753346080306,0.1450381679389313,0.03806228373702422,0.15606936416184972,0.1450381679389313,0.18811881188118812,0.21951219512195122,0.2145748987854251,0.1583011583011583,1.0,0.13636363636363635,0.18110236220472442,0.10497237569060773,0.1650485436893204,0.19047619047619047,0.14068441064638784,0.171875,0.17416829745596868,0.1111111111111111,0.21212121212121213,0.2219959266802444,0.12149532710280374,0.1695906432748538,0.1111111111111111,0.11940298507462686,0.11731843575418995,0.18110236220472442,0.14068441064638784,0.08499095840867993,0.10497237569060773,0.1650485436893204,0.10905730129390019,0.10294117647058823,0.0948905109489051,0.06571936056838366,0.1952191235059761,0.12570356472795496,0.013513513513513514,0.12781954887218044,0.043478260869565216
dennis_flydtkjær,0.1342155009451796,0.1111111111111111,0.15163147792706333,0.14722753346080306,0.056338028169014086,0.1320754716981132,0.14285714285714285,0.18110236220472442,0.16731517509727625,0.11940298507462686,0.14722753346080306,0.13636363636363635,1.0,0.1695906432748538,0.16054158607350097,0.14285714285714285,0.171875,0.16279069767441862,0.14068441064638784,0.1342155009451796,0.09689213893967093,0.11940298507462686,0.1695906432748538,0.13851992409867173,0.17416829745596868,0.1111111111111111,0.1111111111111111,0.15384615384615385,0.11524163568773234,0.14942528735632185,0.06382978723404255,0.07719928186714542,0.10905730129390019,0.13636363636363635,0.1834319526627219,0.1695906432748538,0.03626943005181347,0.1787819253438114,0.12781954887218044,0.029159519725557463,0.1583011583011583,0.0582010582010582
peter_skaarup,0.13851992409867173,0.10497237569060773,0.2345679012345679,0.2145748987854251,0.061946902654867256,0.19284294234592445,0.18110236220472442,0.2765957446808511,0.2396694214876033,0.13851992409867173,0.14285714285714285,0.18110236220472442,0.1695906432748538,1.0,0.23711340206185566,0.2145748987854251,0.24740124740124741,0.16731517509727625,0.2145748987854251,0.2,0.11731843575418995,0.1583011583011583,0.1450381679389313,0.13851992409867173,0.24481327800829875,0.2145748987854251,0.09689213893967093,0.25260960334029225,0.1952191235059761,0.16279069767441862,0.09090909090909091,0.09090909090909091,0.1695906432748538,0.20481927710843373,0.24740124740124741,0.21951219512195122,0.054481546572934976,0.22448979591836735,0.16731517509727625,0.0273972602739726,0.20724346076458752,0.034482758620689655
soren_espersen,0.10497237569060773,0.1450381679389313,0.20240480961923848,0.16731517509727625,0.04895104895104895,0.17647058823529413,0.171875,0.24740124740124741,0.1857707509881423,0.09289617486338798,0.1695906432748538,0.10497237569060773,0.16054158607350097,0.23711340206185566,1.0,0.19760479041916168,0.25,0.19284294234592445,0.15384615384615385,0.1952191235059761,0.1450381679389313,0.1787819253438114,0.15384615384615385,0.16054158607350097,0.24481327800829875,0.14068441064638784,0.07526881720430108,0.21703853955375255,0.16279069767441862,0.16054158607350097,0.06382978723404255,0.07526881720430108,0.0989010989010989,0.22950819672131148,0.3274336283185841,0.21703853955375255,0.043478260869565216,0.2422360248447205,0.1450381679389313,0.034482758620689655,0.2578616352201258,0.05263157894736842
alex_vanopslagh,0.12781954887218044,0.10091743119266056,0.1857707509881423,0.1952191235059761,0.03806228373702422,0.17647058823529413,0.17416829745596868,0.279317697228145,0.28205128205128205,0.1695906432748538,0.171875,0.1650485436893204,0.14285714285714285,0.2145748987854251,0.19760479041916168,1.0,0.27388535031847133,0.2396694214876033,0.17647058823529413,0.20481927710843373,0.1834319526627219,0.19760479041916168,0.19047619047619047,0.21212121212121213,0.21212121212121213,0.19760479041916168,0.09090909090909091,0.21951219512195122,0.2422360248447205,0.19760479041916168,0.0989010989010989,0.12149532710280374,0.15384615384615385,0.1650485436893204,0.1650485436893204,0.11940298507462686,0.054481546572934976,0.23203285420944558,0.16279069767441862,0.011804384485666104,0.19284294234592445,0.04712041884816754
henrik_dahl,0.16731517509727625,0.13636363636363635,0.20240480961923848,0.19284294234592445,0.03270223752151463,0.20967741935483872,0.2,0.3422818791946309,0.36674259681093396,0.19047619047619047,0.19284294234592445,0.19047619047619047,0.171875,0.24740124740124741,0.25,0.27388535031847133,1.0,0.279317697228145,0.2219959266802444,0.2396694214876033,0.18811881188118812,0.25,0.22699386503067484,0.18110236220472442,0.23711340206185566,0.22699386503067484,0.11940298507462686,0.25260960334029225,0.26849894291754756,0.18811881188118812,0.08303249097472924,0.16054158607350097,0.16731517509727625,0.19284294234592445,0.19047619047619047,0.2,0.054481546572934976,0.32450331125827814,0.2711864406779661,0.02564102564102564,0.2765957446808511,0.056338028169014086
ole_olesen,0.1111111111111111,0.10905730129390019,0.12570356472795496,0.14722753346080306,0.02564102564102564,0.15384615384615385,0.18811881188118812,0.2422360248447205,0.23203285420944558,0.15384615384615385,0.17647058823529413,0.14068441064638784,0.16279069767441862,0.16731517509727625,0.19284294234592445,0.2396694214876033,0.279317697228145,1.0,0.1834319526627219,0.1787819253438114,0.15163147792706333,0.18811881188118812,0.1650485436893204,0.1583011583011583,0.16054158607350097,0.1450381679389313,0.0989010989010989,0.1952191235059761,0.19284294234592445,0.1695906432748538,0.06761565836298933,0.11524163568773234,0.16054158607350097,0.1787819253438114,0.15606936416184972,0.11731843575418995,0.06761565836298933,0.1787819253438114,0.17416829745596868,0.029159519725557463,0.18811881188118812,0.04529616724738676
soren_pape,0.14068441064638784,0.11731843575418995,0.1695906432748538,0.2345679012345679,0.054481546572934976,0.171875,0.1834319526627219,0.20967741935483872,0.26582278481012656,0.16054158607350097,0.13851992409867173,0.171875,0.14068441064638784,0.2145748987854251,0.15384615384615385,0.17647058823529413,0.2219959266802444,0.1834319526627219,1.0,0.16731517509727625,0.14068441064638784,0.14068441064638784,0.22950819672131148,0.14722753346080306,0.19284294234592445,0.15163147792706333,0.0989010989010989,0.20240480961923848,0.17416829745596868,0.17647058823529413,0.08108108108108109,0.0989010989010989,0.14068441064638784,0.14722753346080306,0.1857707509881423,0.17416829745596868,0.06382978723404255,0.2,0.15163147792706333,0.022146507666098807,0.17647058823529413,0.0273972602739726
mette_abildgaard,0.12994350282485875,0.11731843575418995,0.15606936416184972,0.12359550561797752,0.041666666666666664,0.1857707509881423,0.1450381679389313,0.25,0.2219959266802444,0.12359550561797752,0.19760479041916168,0.17416829745596868,0.1342155009451796,0.2,0.1952191235059761,0.20481927710843373,0.2396694214876033,0.1787819253438114,0.16731517509727625,1.0,0.11317254174397032,0.16054158607350097,0.15163147792706333,0.171875,0.1650485436893204,0.14285714285714285,0.08303249097472924,0.15384615384615385,0.16279069767441862,0.11940298507462686,0.056338028169014086,0.12359550561797752,0.1320754716981132,0.18110236220472442,0.1450381679389313,0.1695906432748538,0.06382978723404255,0.2345679012345679,0.13851992409867173,0.03806228373702422,0.19760479041916168,0.04712041884816754
